"","tournament","country","penalties_D1","regulation_D1","extra_time_D1","shootout_D1","penalties_D2","regulation_D2","extra_time_D2","shootout_D2","penalties_D3","regulation_D3","extra_time_D3","shootout_D3"
"leagues/let1-virsliga","Latvian Higher League","Latvia","381","381","0","0","331","331","0","0","331","331","0","0"
"cups/bulp-bulgarian-cup","Bulgarian Cup","Bulgaria","379","104","2","273","377","102","2","273","335","101","2","232"
"leagues/no1-eliteserien","Eliteserien","Norway","373","373","0","0","208","208","0","0","208","208","0","0"
"leagues/faro-betri-deildin","Faroe Islands Premier League","Faroe Islands","365","365","0","0","356","356","0","0","326","326","0","0"
"leagues/is1-besta-deild","Men's Best Division","Iceland","346","346","0","0","253","253","0","0","277","277","0","0"
"leagues/sl1-prva-liga","Slovenian PrvaLiga","Slovenia","339","339","0","0","49","49","0","0","90","90","0","0"
"cups/ispo-gavia-hamedina","Israel State Cup","Israel","330","75","2","253","253","0","0","253","209","0","0","209"
"leagues/dk1-superligaen","Danish Superliga","Denmark","330","330","0","0","286","286","0","0","241","241","0","0"
"cups/sec-svenska-cupen","Svenska Cupen","Sweden","313","156","10","147","313","156","10","147","313","156","10","147"
"leagues/arm1-bardzragujn-khumb","Armenian Premier League","Armenia","311","311","0","0","237","237","0","0","237","237","0","0"
"leagues/slo1-fortuna-liga","1st League","Slovakia","307","307","0","0","267","267","0","0","267","267","0","0"
"leagues/az1-premyer-liqa","Azerbaijan Premier League","Azerbaijan","290","290","0","0","169","169","0","0","215","215","0","0"
"cups/luxp-coupe-de-luxembourg","Luxembourg Cup","Luxembourg","282","137","6","139","268","123","6","139","266","121","6","139"
"leagues/ge1n-crystalbet-erovnuli-liga","Erovnuli Liga","Georgia","269","269","0","0","261","261","0","0","261","261","0","0"
"leagues/li1-a-lyga","A Lyga","Lithuania","252","252","0","0","95","95","0","0","116","116","0","0"
"leagues/ko1-superliga-e-kosoves","Football Superleague of Kosovo","Kosovo","250","250","0","0","245","245","0","0","245","245","0","0"
"cups/wale-welsh-cup","FAW Welsh Cup","Wales","243","86","0","157","242","85","0","157","241","84","0","157"
"leagues/mne1-meridianbet-1-cfl","First League of Montenegro","Montenegro","228","228","0","0","175","175","0","0","175","175","0","0"
"cups/gepo-david-kipiani-cup","Georgian Cup","Georgia","198","67","1","130","194","63","1","130","123","0","0","123"
"leagues/wal1-cymru-premier","Cymru Premier","Wales","194","194","0","0","193","193","0","0","193","193","0","0"
