"","Goal","Missed","Save","penalties","minute"
"1",NA,NA,NA,11,"1"
"2",NA,NA,NA,120,"2"
"3",83.8212634822804,3.85208012326656,12.326656394453,154,"3"
"4",82.9638273045508,3.96732788798133,13.0688448074679,169,"4"
"5",82.0043103448276,3.87931034482759,14.1163793103448,195,"5"
"6",81.4412635735439,4.04738400789733,14.5113524185587,219,"6"
"7",81.5740740740741,3.7962962962963,14.6296296296296,191,"7"
"8",81.9148936170213,4.34397163120567,13.741134751773,239,"8"
"9",82.3784722222222,4.25347222222222,13.3680555555556,236,"9"
"10",81.8032786885246,4.83606557377049,13.3606557377049,243,"10"
"11",82.2314049586777,4.87603305785124,12.8925619834711,243,"11"
"12",82.1548821548822,4.71380471380471,13.1313131313131,259,"12"
"13",81.0463121783877,4.80274442538593,14.1509433962264,229,"13"
"14",81.5436241610738,4.86577181208054,13.5906040268456,214,"14"
"15",82.8035859820701,4.48247758761206,12.7139364303178,221,"15"
"16",83.5880933226066,3.86162510056315,12.5502815768302,269,"16"
"17",84.1426403641882,4.17298937784522,11.6843702579666,294,"17"
"18",85,3.84057971014493,11.1594202898551,245,"18"
"19",83.6428571428571,4.35714285714286,12,289,"19"
"20",82.9127613554434,4.39798125450613,12.6892573900505,283,"20"
"21",82.1149751596877,4.61320085166785,13.2718239886444,289,"21"
"22",81.4203730272597,4.73457675753228,13.845050215208,281,"22"
"23",81.5582558970693,4.93209435310936,13.5096497498213,267,"23"
"24",82.0440028388928,4.54222853087296,13.4137686302342,274,"24"
"25",81.6455696202532,4.92264416315049,13.4317862165963,288,"25"
"26",81.038062283737,5.32871972318339,13.6332179930796,299,"26"
"27",80.998613037448,5.33980582524272,13.6615811373093,294,"27"
"28",80.8275862068966,5.37931034482759,13.7931034482759,290,"28"
"29",80.6693989071038,5.46448087431694,13.8661202185792,271,"29"
"30",80.603152844414,5.14050719671008,14.2563399588759,296,"30"
"31",80.9078771695594,5.34045393858478,13.7516688918558,313,"31"
"32",81.635301752109,5.25632706035042,13.1083711875406,289,"32"
"33",81.8858560794045,5.27295285359801,12.8411910669975,329,"33"
"34",81.8407960199005,5.03731343283582,13.1218905472637,314,"34"
"35",82.6034063260341,5.17031630170316,12.2262773722628,367,"35"
"36",82.9518072289157,4.27710843373494,12.7710843373494,309,"36"
"37",82.5301204819277,3.97590361445783,13.4939759036145,325,"37"
"38",82.1273964131107,4.143475572047,13.7291280148423,345,"38"
"39",82.4529447480267,4.00728597449909,13.5397692774742,314,"39"
"40",82.8307692307692,3.63076923076923,13.5384615384615,324,"40"
"41",83.3644859813084,3.67601246105919,12.9595015576324,339,"41"
"42",83.252131546894,3.77588306942753,12.9719853836784,303,"42"
"43",83.5360554078621,3.64283283219517,12.8211117599428,325,"43"
"44",83.7326797825236,4.02311464176005,12.2442055757164,351,"44"
"45",83.4999315322741,4.25306935986439,12.2469991078615,336.582944603663,"45"
"46",83.1742243436754,4.71360381861575,12.1121718377088,329.472351798779,"45_1"
"47",NA,NA,NA,329.472351798779,"45_2"
"48",NA,NA,NA,329.472351798779,"45_3"
"461",NA,NA,NA,27,"46"
"471",NA,NA,NA,182,"47"
"481",81.5111111111111,5.86666666666667,12.6222222222222,289,"48"
"49",82.5,5.625,11.875,309,"49"
"50",82.8712261244609,5.23721503388786,11.8915588416513,318,"50"
"51",82.3668639053254,4.49704142011834,13.1360946745562,342,"51"
"52",82.9959514170041,4.16425679583574,12.8397917871602,365,"52"
"53",82.890365448505,4.31893687707641,12.7906976744186,356,"53"
"54",82.7180310326378,4.38737292669877,12.8945960406635,348,"54"
"55",82.1195652173913,4.72826086956522,13.1521739130435,395,"55"
"56",82.5107296137339,4.72103004291846,12.7682403433476,405,"56"
"57",82.6645264847512,4.38737292669877,12.94810058855,336,"57"
"58",81.5135135135135,4.7027027027027,13.7837837837838,380,"58"
"59",80.9898762654668,4.78065241844769,14.2294713160855,353,"59"
"60",81.5149802148106,4.18315432447711,14.3018654607123,376,"60"
"61",81.6694867456289,4.39932318104907,13.9311900733221,333,"61"
"62",81.4019219898248,4.74844544940644,13.8496325607688,327,"62"
"63",82.6599326599327,4.54545454545455,12.7946127946128,384,"63"
"64",82.6159865846842,4.58356623812186,12.800447177194,349,"64"
"65",81.8380743982494,5.14223194748359,13.019693654267,389,"65"
"66",82.0199778024417,5.1054384017758,12.8745837957825,340,"66"
"67",81.953642384106,5.29801324503311,12.7483443708609,366,"67"
"68",81.3703284258211,5.26613816534541,13.3635334088335,358,"68"
"69",81.2957746478873,5.07042253521127,13.6338028169014,359,"69"
"70",81.859410430839,4.59183673469388,13.5487528344671,343,"70"
"71",81.6462736373749,4.56062291434928,13.7931034482759,349,"71"
"72",81.4752252252252,4.5045045045045,14.0202702702703,355,"72"
"73",80.9684684684685,4.67342342342342,14.3581081081081,392,"73"
"74",81.5290178571429,4.85491071428571,13.6160714285714,337,"74"
"75",81.6750983698707,5.05902192242833,13.265879707701,343,"75"
"76",81.6372939169983,5.11654349061967,13.246162592382,365,"76"
"77",81.6338028169014,4.95774647887324,13.4084507042254,342,"77"
"78",82.6014452473596,4.66926070038911,12.7292940522512,372,"78"
"79",82.3397075365579,4.49943757030371,13.1608548931384,353,"79"
"80",82.1567537520845,4.55808782657032,13.2851584213452,367,"80"
"81",81.7780231916068,4.85919381557151,13.3627829928216,344,"81"
"82",82.1350762527233,4.68409586056645,13.1808278867102,363,"82"
"83",81.9520174482006,4.90730643402399,13.1406761177754,384,"83"
"84",81.9925412892914,4.90143846563665,13.1060202450719,378,"84"
