"","club team","penalties","goal","save","miss"
"Sevilla Fc","Sevilla Fc",25,92,8,0
"Fc Tosno (-2018)","Fc Tosno (-2018)",25,88,12,0
"Stoke City","Stoke City",33,87.8787878787879,6.06060606060606,6.06060606060606
"Fk Khimki","Fk Khimki",32,87.5,9.375,3.125
"Derby County","Derby County",39,87.1794871794872,10.2564102564103,2.56410256410256
"Újpest Fc","Újpest Fc",31,87.0967741935484,6.45161290322581,6.45161290322581
"Manchester United","Manchester United",43,86.046511627907,9.30232558139535,4.65116279069767
"Sv Sandhausen","Sv Sandhausen",28,85.7142857142857,7.14285714285714,7.14285714285714
"Fk Tyumen","Fk Tyumen",26,84.6153846153846,7.69230769230769,7.69230769230769
"Hull City","Hull City",48,83.3333333333333,10.4166666666667,6.25
"Lask","Lask",30,83.3333333333333,3.33333333333333,13.3333333333333
"Queens Park Rangers","Queens Park Rangers",41,82.9268292682927,9.75609756097561,7.31707317073171
"Sokol Saratov","Sokol Saratov",35,82.8571428571429,11.4285714285714,5.71428571428571
"Chelsea Fc","Chelsea Fc",64,82.8125,10.9375,6.25
"Gillingham Fc","Gillingham Fc",34,82.3529411764706,14.7058823529412,2.94117647058824
"Eintracht Frankfurt","Eintracht Frankfurt",28,82.1428571428571,17.8571428571429,0
"Krc Genk","Krc Genk",28,82.1428571428571,14.2857142857143,3.57142857142857
"Liverpool Fc","Liverpool Fc",60,81.6666666666667,11.6666666666667,6.66666666666667
"Iraklis Thessaloniki","Iraklis Thessaloniki",27,81.4814814814815,3.7037037037037,14.8148148148148
"Spartak Trnava","Spartak Trnava",27,81.4814814814815,7.40740740740741,11.1111111111111
"Southampton Fc","Southampton Fc",31,80.6451612903226,9.67741935483871,9.67741935483871
"Ac Sparta Prague","Ac Sparta Prague",35,80,8.57142857142857,11.4285714285714
"Tsv Hartberg","Tsv Hartberg",25,80,16,4
"Spartak Nalchik","Spartak Nalchik",34,79.4117647058823,17.6470588235294,2.94117647058824
"Wycombe Wanderers","Wycombe Wanderers",28,78.5714285714286,10.7142857142857,10.7142857142857
"Ssv Jahn Regensburg","Ssv Jahn Regensburg",27,77.7777777777778,18.5185185185185,3.7037037037037
"Tom Tomsk","Tom Tomsk",27,77.7777777777778,11.1111111111111,11.1111111111111
"Everton Fc","Everton Fc",31,77.4193548387097,16.1290322580645,6.45161290322581
"Carlisle United","Carlisle United",26,76.9230769230769,23.0769230769231,0
"Fc Slovan Liberec","Fc Slovan Liberec",26,76.9230769230769,15.3846153846154,7.69230769230769
"Levski Sofia","Levski Sofia",30,76.6666666666667,16.6666666666667,6.66666666666667
"Accrington Stanley","Accrington Stanley",42,76.1904761904762,19.047619047619,4.76190476190476
"Pogon Szczecin","Pogon Szczecin",25,76,16,8
"1.Fc Nuremberg","1.Fc Nuremberg",29,75.8620689655172,20.6896551724138,3.44827586206897
"Dynamo Kyiv","Dynamo Kyiv",27,74.0740740740741,18.5185185185185,7.40740740740741
"Fc Luzern","Fc Luzern",27,74.0740740740741,22.2222222222222,3.7037037037037
"Leeds United","Leeds United",27,74.0740740740741,7.40740740740741,18.5185185185185
"Leicester City","Leicester City",45,73.3333333333333,17.7777777777778,8.88888888888889
"1. Fc Köln","1. Fc Köln",26,73.0769230769231,11.5384615384615,15.3846153846154
"Fk Chita","Fk Chita",25,72,20,8
"Volga Uljanovsk","Volga Uljanovsk",25,72,20,8
"Ingulets Petrove","Ingulets Petrove",32,71.875,18.75,9.375
"Stade Rennais Fc","Stade Rennais Fc",42,71.4285714285714,21.4285714285714,7.14285714285714
"Stade Brestois 29","Stade Brestois 29",27,70.3703703703704,18.5185185185185,11.1111111111111
"Msk Zilina","Msk Zilina",33,69.6969696969697,24.2424242424242,6.06060606060606
"Hb Tórshavn","Hb Tórshavn",26,69.2307692307692,23.0769230769231,7.69230769230769
"Real Betis Balompié","Real Betis Balompié",26,69.2307692307692,19.2307692307692,11.5384615384615
"Tottenham Hotspur","Tottenham Hotspur",34,67.6470588235294,20.5882352941176,11.7647058823529
"Bradford City","Bradford City",33,66.6666666666667,27.2727272727273,6.06060606060606
"Norwich City","Norwich City",27,66.6666666666667,22.2222222222222,11.1111111111111
"Amkar Perm","Amkar Perm",44,65.9090909090909,25,9.09090909090909
"Brighton & Hove Albion","Brighton & Hove Albion",31,64.5161290322581,12.9032258064516,22.5806451612903
"Cfr Cluj","Cfr Cluj",25,64,24,12
"Luki-Energia Velikie Luki","Luki-Energia Velikie Luki",27,62.962962962963,14.8148148148148,22.2222222222222
"Sv Mattersburg","Sv Mattersburg",31,61.2903225806452,19.3548387096774,19.3548387096774
"Ska Khabarovsk","Ska Khabarovsk",25,60,16,24
